uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Capacité d'autofinancement;Charges de fonctionnement décaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Droits d'inscription;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Formation continue, diplômes propres et VAE;Ressources propres;Résultat net comptable hors SIE;Produits de fonctionnement encaissables;Ressources propres / Produits encaissables;Résultat net comptable;Solde budgétaire;Subventions de la région;Subventions Union Européenne;Taxe d'apprentissage;Trésorerie;Trésorerie en jours de charges décaissables;Valorisation;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region
0141408E;2010;14012410.33;0.0;0.0;8113120.85;1124638.93;;-0.656916717135802;;61007978.54;99.5866686088142;32757244.6;53.4714465318534;6682036.84;25179373.78;41.1016724765312;1823615.27;567013.329999998;77.0768697559276;13061955.6;5940281.65;29455440.7;;61261190.27;48.0817309787474;;;1828619.79;351443.19;1963170.25;16726357.2;98.7000181960134;81099.3;2011;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0141408E;Université de Caen Normandie;14118;Caen;A05;Caen;R28;Normandie
0250082D;2010;2313715.74;0.0;0.0;11854.68;119265.6;;14.1902402329997;752149.54;4547278.18;85.7900807603732;2036717.51;38.4252189447021;85429.85;1860408.39;35.0989272500096;;1110271.38;275.514790960073;3480117.77;3209.52;2375382.08;;5300470.8;44.814548926484;301774.72;;8454.5;;45843.49;3720283.59;294.528295693579;5450.0;;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0250082D;École nationale supérieure de mécanique et des microtechniques;25056;Besançon;A03;Besançon;R27;Bourgogne-Franche-Comté
0251215K;2010;9283780.63;0.0;0.0;2188275.61;3283545.72;;2.94092789071581;5406454.27000001;178438247.75;97.0643592585926;25000472.7;13.5994098484272;7288366.42;150671191.19;81.960021553654;2982150.14;8153963.17000001;53.4644388716825;26500279.97;3451848.75;28488392.76;;183834982.39;15.4967201506636;5026912.41000001;;1545141.72;1211668.72;721860.17;27539612.26;55.56129663126;117923.23;2010;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0251215K;Université de Franche-Comté;25056;Besançon;A03;Besançon;R27;Bourgogne-Franche-Comté
0290119X;2010;713329.65;0.0;0.0;180601.61;;4394.11999999941;17.5148375881566;558316.29;2626739.46;82.4029602079175;1411367.93;44.2757636018156;;1139905.36;35.7597612748665;2970.5;477900.81;441.255631040012;3219621.05;;1077218.09;;3187676.09;33.7932104638649;273269.99;;800.0;;33.0;3215226.93;440.653407932586;;;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0290119X;École nationale d'ingénieurs de Brest;29019;Brest;A14;Rennes;R53;Bretagne
0311382J;2010;8088579.73;0.0;0.0;855626.51;227101.0;;3.94343537255171;3183046.27000002;77534550.68;96.0565646274483;9827855.03;12.1756040830698;885581.48;65525259.67;81.1784073683328;3105870.3;3577862.62000002;70.2539313973878;15130852.79;3669935.18;13436107.75;;80717596.95;16.6458222961257;633068.23000002;;310200.0;10321.67;609172.84;18707821.49;86.8621237542973;10837.16;2009;A;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0311382J;Université Toulouse 1 - Capitole;31555;Toulouse;A16;Toulouse;R76;Occitanie
0330192E;2010;135522.1;0.0;0.0;219140.75;223944.02;488228.24;7.99213843089101;351586.75;4047570.66;92.007861569109;1698170.47;38.6021756379934;56669.15;1926112.97;43.7836792477949;738318.87;962459.51;151.719835621103;1705824.32;547391.5;2991318.41;;4399157.41;67.9975306907693;149147.8;;133601.19;411042.0;103324.45;1217596.08;108.295722451946;;;A;institut d'études politiques;GR20;instituts d'études politiques;0330192E;Institut d'études politiques de Bordeaux;33318;Pessac;A04;Bordeaux;R75;Nouvelle-Aquitaine
0381912X;2010;6347137.98;0.0;0.0;3584320.09;9351982.96;;5.20014656178224;5787323.73999999;105504226.82;94.7998534382178;25310938.16;22.7429108792534;5291274.78;73658714.28;66.1853608017518;1592307.28;11959432.26;;;3813635.58;39632117.41;;111291550.56;35.6110748844616;;;4923391.55;2777965.66;3206490.96;;;327440.91;2010;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0381912X;Grenoble INP;38185;Grenoble;A08;Grenoble;R84;Auvergne-Rhône-Alpes
0420093Y;2010;476165.42;0.0;0.0;286990.88;596021.32;358780.8;10.7165819355689;464871.62;3868580.63;89.1815277855632;1825221.95;42.0764351624086;334351.63;1905665.78;43.930888861703;240273.0;783957.05;68.340640582694;734392.440000005;304699.03;2509470.5;;4337872.12;57.8502646131486;36247.0999999999;;161243.56;37352.27;406880.47;375611.640000001;34.9534372765549;;;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0420093Y;École nationale d'ingénieurs de Saint-Étienne;42218;Saint-Étienne;A10;Lyon;R84;Auvergne-Rhône-Alpes
0450855K;2010;;;;;;3064389.73999999;;;;;;;;;;;;;12248246.7;;;;;;;;;;;9183856.96000001;;;2011;C;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0450855K;Université d'Orléans;45234;Orléans;A18;Orléans-Tours;R24;Centre-Val de Loire
0590311T;2010;955629.15;0.0;0.0;231602.58;100511.58;209051.780000001;25.518128473153;865409.79;2525943.11;74.481871526847;1591880.43;46.9393919459104;1057390.54;915025.55;26.9811363482697;96777.9;742692.37;330.278460309425;2317401.67;;1806505.9;;3391352.9;53.268001097733;524176.12;;;51502.36;171237.35;2108349.89;300.484186439179;;;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0590311T;École nationale supérieure de chimie de Lille;59009;Villeneuve-d'Ascq;A09;Lille;R32;Hauts-de-France
0590338X;2010;633210.67;0.0;0.0;256477.29;910627.76;220858.41;10.0309025354716;442776.4;3971346.84;89.9690974645284;2010266.22;45.5416876851857;463185.51;1853811.68;41.9972796228498;115186.47;362792.44;196.093997571867;2163214.66;127129.56;3343000.24;;4414123.24;75.7341845308334;284574.5;;375732.21;684505.05;267805.95;1942356.25;176.073326801141;;;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0590338X;École nationale supérieure des arts et industries textiles;59512;Roubaix;A09;Lille;R32;Hauts-de-France
0593559Y;2010;;;;;;9667343.79000003;;;;;;;;;;;;;21082716.24;;;;;;;;;;;11415372.45;;;2011;E;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0597065J;Université LILLE 1 - SCIENCES TECHNOLOGIES;;;;;;
0630095L;2010;108101.1;0.0;0.0;166713.47;22423.06;;8.81143240837858;134615.01;1393116.28;91.1885675916214;738625.35;48.3478576916494;304546.37;606620.62;39.7072851731668;84971.0;193868.19;186.767879562788;722748.259999999;32508.73;778668.29;;1527731.29;50.9689298829508;;;63000.0;;102665.66;858425.53;221.828712532166;;;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0632033T;ENS CHIMIE CLERMONT-FERRAND;;;;;;
0631262E;2010;;;;;;;;;;;;;;;;;;;24063840.01;;;;;;;;;;;33281785.3;;;2009;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0632035V;Université CLERMONT-FERRAND 1 - AUVERGNE;;;;;;
0640251A;2010;6572221.8;0.0;0.0;1256083.96;2437517.54;1838460.11;-0.407049582336181;;97275370.23;100.247342451804;14348847.09;14.7872352952113;1640619.92;81391347.66;83.8780287568569;873862.48;952834.409999998;23.9665468215407;6475985.31999999;2058046.23;16052586.53;;97035360.59;16.5430276472372;;;1738230.97;2050435.2;854138.5;4637525.21;17.1627110917448;15559.43;2010;A;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0640251A;Université de Pau et des Pays de l'Adour;64445;Pau;A04;Bordeaux;R75;Nouvelle-Aquitaine
0691774D;2010;24713892.84;0.0;0.0;16145426.94;18191510.5;8031013.54;8.17715067552276;28467043.88;319654818.27;91.8207603209215;49086887.24;14.100195118464;3954285.4;256764951.83;73.7556631506219;6973400.12;32008432.44;41.9838093197907;37278685.9400001;10430580.8;73003473.92;;348129134.58;20.9702281907761;21881821.93;;7613788.87;3523636.13;2263305.7;29247672.4;32.9391626911327;468614.36;2009;A;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0691774D;Université Claude Bernard - Lyon 1;69266;Villeurbanne;A10;Lyon;R84;Auvergne-Rhône-Alpes
0692437Z;2010;2503871.73;0.0;0.0;2794763.47;2483136.84;;4.9324237922927;4608682.09;88825595.87;95.0652429214887;12353295.49;13.2210656752196;73711.82;74010915.2;79.2098894853122;4316364.07;6721400.92;61.3093596351463;15127334.45;4847584.16;18282637.1;;93436458.1;19.5669200992541;3962891.75;;2002854.29;1252.64;951411.92;20662105.38;83.7411543817431;6175.07;2010;A;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0692437Z;Université Jean Moulin - Lyon 3;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes
0692459Y;2010;166355.23;0.0;0.0;10164.25;993484.89;434815.29;23.5049617900563;871277.5;2882328.08;77.7582473859436;1991899.15;53.7366262877163;10210.0;774221.24;20.8866184002801;22831.81;982264.51;397.238522826312;3180477.08;117724.0;1419320.18;;3706781.18;38.2898291287861;633021.29;;58454.5;1845.0;14479.79;2745661.79;342.930512060237;177961.32;;A;autres établissements;GR60;autres établissements d'enseignement et de recherche;0692459Y;École nationale supérieure des sciences de l'information et des bibliothèques;69266;Villeurbanne;A10;Lyon;R84;Auvergne-Rhône-Alpes
0751718K;2010;11719850.64;0.0;0.0;936429.14;130500.0;;5.04370825545232;3791954.9;71305567.71;94.8440817475548;12640507.99;16.8132364924155;204303.38;57616778.76;76.6365187213544;3378289.0;4515520.52;81.2500812834492;16093286.59;1949896.77;11196390.2;;75181884.2;14.8924043592938;2234335.75;;;;912776.26;30352821.59;153.242111707745;27079.46;2010;D;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0751718K;Université Panthéon-Assas;75105;Paris 5e;A01;Paris;R11;Île-de-France
0751720M;2010;6604589.17;0.0;0.0;4545116.84;3119817.59;;4.25544051897557;1742477.22;37427144.43;91.4037699253093;13595336.23;33.2022387427472;76392.36;21229512.65;51.8462607671361;2108128.26;5294743.75;184.749401978355;19207340.42;3639037.33;15304216.92;;40947046.78;37.3756305362543;434192.180000001;;15103.65;;535669.2;20307403.44;195.330564213178;207801.13;2011;D;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0755890V;Université PARIS 4 - SORBONNE;;;;;;
0751722P;2010;26649266.77;0.0;0.0;14600597.48;9980638.74;1550882.83000003;;;419701281.24;102.804197220819;79610610.22;19.5003094814156;23199672.74;331982374.16;81.3177919451337;6209833.46;;18.5074666463984;21576687.4;6362946.04;69139355.77;;408253060.27;16.9354164116429;;;2638853.08;1372099.32;1299337.96;20025804.6300003;17.1771924200479;1139715.72;2009;D;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0755890V;Université PARIS 6 - PIERRE ET MARIE CURIE;;;;;;
0753496T;2010;3326318.23;0.0;0.0;1105675.98;;1089398.98;16.1137401566811;1916445.93;10057830.17;84.5676151684633;6586211.24;55.3777671871872;132867.24;2887342.3;24.2771699620004;;2132921.74;199.937580294219;5585939.51999998;;11893240.87;;11893240.87;100.0;1805110.96;;;;;4496540.54;160.944713426196;11070.44;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753496T;Observatoire de Paris;75114;Paris 14e;A01;Paris;R11;Île-de-France
0755026F;2010;555127.79;0.0;0.0;1244689.24;3276.54;;13.7073837616057;1201752.51;7565424.74;86.2924598599139;4514944.79;51.4981915028346;;2927664.92;33.3934202341134;126081.57;353229.319999999;328.773355030428;6909194.65000001;;1678821.93;;8767190.96;19.1489148309825;688181.479999999;;;;;8063638.84;383.707469463241;6679.72;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0755026F;Institut national d'histoire de l'art;75102;Paris 2e;A01;Paris;R11;Île-de-France
0755353L;2010;154941.06;0.0;0.0;2475079.93;;522401.35;13.2717654201321;3034789.92;19831722.74;86.7282345798679;13511441.55;59.0883347666535;;6117431.21;26.7527948006743;;3058267.7;236.313210941956;13018050.22;;10716512.66;;22866512.66;46.8655313529562;2451720.91;;;;;12495648.87;226.830197869134;;;A;autres établissements;GR60;autres établissements d'enseignement et de recherche;0755353L;AMUE;;;;;;
0860073M;2010;3622572.87;0.0;0.0;454979.75;1963413.4;2425212.28;17.1389699340222;1178750.6;5698854.09;82.8610300659778;2941338.26;42.7668991251662;1396565.42;2310357.99;33.5924801458747;92832.67;1459400.15;374.044797205889;5921185.34;;4841984.15;;6877604.69;70.4021875092679;774092.71;;328234.33;62848.19;136571.83;3495973.06;220.842696044531;;2013;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0860073M;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;86062;Chasseneuil-du-Poitou;A13;Poitiers;R75;Nouvelle-Aquitaine
0911975C;2010;3578336.19;0.0;0.0;242167.96;;;8.57246371989105;2754509.57;29377554.91;91.427536280109;10178604.81;31.6774068978216;1117801.1;17074261.43;53.1377666088886;;3723500.24;156.765925827011;12792776.65;2001251.4;32132064.48;;32132064.48;100.0;1450095.93;;;;;14418256.8;176.684971363398;31.59;2011;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0911975C;Université d'Évry-Val d'Essonne;91228;Évry;A25;Versailles;R11;Île-de-France
0060931E;2011;9789563.53;0.0;0.0;3250023.52;2582406.79;;2.10573748719141;4431807.24000002;206031617.9;97.8942625128086;27765130.74;13.1923780683179;4055932.31;170409937.19;80.9689080545199;6063817.88;14312862.18;10.8696148582737;6220789.82000005;5352681.31;32819423.55;;210463425.14;15.593884556506;671059.510000017;;1223842.46;6137160.62;1362325.68;16796518.4;29.3486343777335;16845.36;2010;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0060931E;Université Nice - Sophia-Antipolis;6088;Nice;A23;Nice;R93;Provence-Alpes-Côte d'Azur
0130221V;2011;106995.1;0.0;0.0;54499.83;287738.31;528614.45;6.15470912133992;299439.88;4555134.02;93.6265566958542;1755331.01;36.0792015352725;68151.04;2556496.46;52.5464145959289;313069.88;725515.07;263.158973487239;3329789.98;1416387.02;2810513.79;;4865215.79;57.7675053134694;127901.88;;88584.6;16800.0;318297.14;2801175.53;221.381673156567;507.5;;C;institut d'études politiques;GR20;instituts d'études politiques;0130221V;Institut d'études politiques d'Aix-en-Provence;13001;Aix-en-Provence;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur
0171463Y;2011;;;;;;;;;;;;;;;;;;;6801876.82000002;;;;;;;;;;;10741952.33;;;2009;C;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0171463Y;Université de La Rochelle;17300;La Rochelle;A13;Poitiers;R75;Nouvelle-Aquitaine
0211237F;2011;15922730.22;0.0;0.0;4893910.97;4515833.76;7552354.24000001;2.9327993883241;6237699.32000004;205440851.25;96.5927935883223;31129914.48;14.6364531956191;1707235.31;171931699.23;80.8376865358851;3716187.59;9313866.87000004;54.7345336080035;31235303.2699999;4320922.65;34137729.78;;212687555.27;16.0506475034062;3636970.19000004;;8432223.76;3178181.88;2200198.46;23682949.03;41.5003228370823;257486.49;2010;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0211237F;Université de Bourgogne;21231;Dijon;A07;Dijon;R27;Bourgogne-Franche-Comté
0311384L;2011;18791284.64;0.0;0.0;9356745.14;13105732.58;7894886.32999996;4.44476506928103;14259650.0;306581176.9;95.5620443688441;38525852.71;12.0085951891999;4158165.34;261614937.48;81.5459661151041;4462002.66;13527323.37;43.3041488660294;36878435.9000002;4014121.04;46534970.6199999;;320818980.93;14.5050553072337;12220705.33;;2985754.9;2247609.33;2712523.59;28983549.5700001;34.0336544816755;567929.7;2010;A;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0311384L;Université de Toulouse 3 - Paul Sabatier;31555;Toulouse;A16;Toulouse;R76;Occitanie
0331765P;2011;9185054.46;0.0;0.0;7989911.74;6001418.03;;0.647250157578063;1009452.54000001;154859055.69;99.2939679935237;27314898.35;17.514020283971;8109865.54;117106842.25;75.0876530557651;4583434.61;5582183.48000002;44.6308159326215;19198572.2499999;3712785.02;48787774.5100001;;155960184.51;31.2821985068066;;;1534512.56;3965184.7;659748.42;25603350.82;59.5199696532516;110270.17;2010;A;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0333298F;Université BORDEAUX 2 - VICTOR SEGALEN;;;;;;
0340112M;2011;789582.46;0.0;0.0;221749.5;1667608.79;;5.55087709223434;636761.710000003;10845008.04;94.5397717057029;2763600.82;24.0912860225499;324002.47;7598573.19;66.239450632226;126229.72;1236179.06;116.282335038269;3503007.94;5311.0;3101723.09;;11471371.09;27.0388174671107;327949.460000003;;307885.61;166005.12;77082.72;4801412.07;159.382855118658;;2011;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0340112M;École nationale supérieure de chimie de Montpellier;34172;Montpellier;A11;Montpellier;R76;Occitanie
0561718N;2011;3075365.4;0.0;0.0;990791.76;2706376.25;463469.050000015;2.40087723382181;1567080.28;63680385.58;97.5628306547362;7728617.23;11.8407853083506;600753.25;53763261.65;82.3690991194721;814095.07;3266381.43;68.3504598779788;12090510.11;1025200.82;10334094.34;;65271154.14;15.8325595374557;1333828.86;;1058451.83;973721.26;1858505.72;11627041.06;65.7303617664433;40.0;2010;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0561718N;Université de Bretagne-Sud;56121;Lorient;A14;Rennes;R53;Bretagne
0570140T;2011;693196.2;0.0;0.0;478348.28;;;11.8376104772926;704291.330000001;5243531.13;88.1323912399972;3220197.93;54.1245463793002;;1926136.01;32.3741708032478;;921520.78;142.939477809489;2081965.56;128509.0;3789174.02;;5949607.24;63.6878010118866;329947.220000001;;;;425268.68;2243391.7;154.022354779078;;;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0542493S;ENI METZ;;;;;;
0590349J;2011;1237747.85;0.0;0.0;224094.81;409383.58;;12.6950671551279;1170132.67;8068425.09;87.536397350284;3901818.74;42.3318245882635;1156185.56;3943100.4;42.7796998244751;1098479.44;1517256.33;262.590437063846;5885253.53000001;500861.34;4566221.08;;9217223.16;49.5400946764101;579162.309999999;;76813.66;334752.66;765650.03;6099920.88;272.168544952061;;2012;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0590349J;École centrale de Lille;59009;Villeneuve-d'Ascq;A09;Lille;R32;Hauts-de-France
0593561A;2011;1874432.6;0.0;0.0;987978.17;2061762.17;;10.0186246963396;3103226.67;27862623.99;89.9532011340439;10622904.44;34.2955588124795;203533.55;15860953.46;51.2063593607391;;4329896.18;203.586360697249;15756806.1599999;809655.84;10402622.33;;30974577.49;33.5843881433361;1734266.9;;1937206.92;570906.18;189635.78;16503034.86;213.228034507169;226685.2;2012;E;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0597065J;Université LILLE 3 - CHARLES-DE-GAULLE;;;;;;
0630095L;2011;267168.67;0.0;0.0;115749.0;106270.98;46867.2299999999;24.5712981092433;380791.97;1168951.02;75.4287018907567;707350.89;45.6431095068222;128314.7;419789.52;27.0876863266212;87561.0;439831.08;268.354929704411;871371.579999999;31253.97;681027.99;;1549742.99;43.9445762551893;181051.28;;33970.76;78678.73;94887.0;824504.35;253.921302878884;;;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0632033T;ENS CHIMIE CLERMONT-FERRAND;;;;;;
0670190T;2011;1245529.57;0.0;0.0;707170.15;130264.58;;6.83384685773382;459282.11;6261414.44;93.1661531422662;2708934.34;40.3073449284063;291697.83;3239081.7;48.19562490141;182364.93;482313.69;142.663228917331;2481315.56000001;735524.06;3656685.55;;6720696.55;54.4093238371252;;;98500.0;;500134.26;3635599.4;209.028774016115;;2013;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0670190T;Institut national des sciences appliquées de Strasbourg;67482;Strasbourg;A15;Strasbourg;R44;Grand Est
0691775E;2011;;;;;;;;;;;;;;;;;;;20006505.52;;;;;;;;;;;23259735.08;;;2012;A;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0691775E;Université Lumière - Lyon 2;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes
0730858L;2011;4128543.49;0.0;0.0;1106716.34;2932033.34;;3.0493884668092;3010162.78999998;95703393.98;96.9505127120088;14987863.89;15.1831719666804;1805373.84;76799780.62;77.8005648246373;1550979.76;7523159.62999998;20.3240962008775;5403013.84999999;3715021.6;20077149.96;;98713654.32;20.3387769385134;673411.059999984;;1877841.44;3607503.29;1347262.58;7095272.44;26.6897334793977;15630.29;2011;A;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0730858L;Université de Savoie;73065;Chambéry;A08;Grenoble;R84;Auvergne-Rhône-Alpes
0751718K;2011;13768249.7;0.0;0.0;873088.49;314205.27;;3.56917084820875;2777798.30000001;75028269.06;96.4032236323687;13457033.88;17.2908353453357;105127.55;60712300.49;78.0087499645302;3191000.0;3356460.39000001;81.4426933388726;16973623.08;2257578.34;12555880.09;;77827552.06;16.1329500384648;3789613.33000001;;14489.59;;672952.39;23205269.32;111.343325120821;45657.72;2010;D;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0751718K;Université Panthéon-Assas;75105;Paris 5e;A01;Paris;R11;Île-de-France
0751720M;2011;6994914.88;0.0;0.0;2936436.96;2077787.3;;1.55679237949683;2208866.33;139704077.63;98.4623833887751;13246181.15;9.335808867961;104266.63;124077519.23;87.4489025346023;3548594.06;5119095.54;40.458550229075;15700623.4499999;3199933.14;13760685.33;;141885736.28;9.69842754513703;39436.8300000054;;;310579.84;468436.09;20136537.87;51.8893489451258;183095.06;2011;D;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0755890V;Université PARIS 4 - SORBONNE;;;;;;
0751722P;2011;26406071.15;0.0;0.0;10842164.37;9985160.0;;0.59212931670651;2467164.17000009;426084264.28;102.261935924395;76487329.11;18.3572664005609;31075607.47;341220270.31;81.8942362903495;6561607.02;7775438.18000009;15.1599862231834;17942865.4900001;8367167.94;73978024.09;;416659689.09;17.7550231104839;;;1936406.91;360327.34;897764.9;23713616.4099999;20.0357127058557;1352011.64;2009;D;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0755890V;Université PARIS 6 - PIERRE ET MARIE CURIE;;;;;;
0751723R;2011;13582857.83;0.0;0.0;3658102.4;9963624.54;;2.71690744052919;7471312.59999998;267504099.28;97.2765987205371;31333434.61;11.3942550910323;1264557.89;226335975.35;82.3060054384349;837.98;13959976.63;41.3269381880704;30708681.6;3434885.9;32029573.24;;274993269.5;11.6474026067027;3881539.57999998;;1371074.51;4157936.29;230070.73;49793144.82;67.0103081913415;1231773.06;2009;D;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0751723R;Université Paris Diderot;75113;Paris 13e;A01;Paris;R11;Île-de-France
0753742K;2011;907465.39;0.0;0.0;1109800.84;3676486.05;1261270.85;0.468559114037082;81700.8400000014;17354912.29;99.531440885963;7147199.02;40.9896059900711;4400.0;8148620.77;46.7328185195562;717151.61;2039691.03;193.138739348823;9310849.67;166953.38;7663380.5;;17436613.13;43.9499370827642;;;318835.28;971919.5;;8049578.82;166.975685429984;682855.22;2012;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753742K;École des hautes études en sciences sociales;75106;Paris 6e;A01;Paris;R11;Île-de-France
0941111X;2011;8830111.83;0.0;0.0;16991800.57;1571324.3;;3.04523465525987;6813456.81999997;216914547.37;96.9486876239036;33825215.64;15.1179821946192;2832283.91;168562696.68;75.3381108994826;3670038.74;7096740.72999997;45.6823161108581;27525441.4500001;4892778.59;42739831.36;;223741602.58;19.1023175248413;4320966.76999997;;1392154.77;7122.23;1049372.61;36732936.23;60.9634402262727;246.78;2010;E;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0941111X;Université Paris-Est Créteil Val-de-Marne;94028;Créteil;A24;Créteil;R11;Île-de-France
0951376E;2011;5071686.52;0.0;0.0;459170.35;;;18.4430035444731;885144.44;3914206.37;81.5569964555268;2252352.63;46.9303603584669;;1510974.83;31.4829002883413;228985.0;1028491.26;709.966474557651;7719320.27;1200921.01;2474718.81;;4799350.81;51.5636157466055;883224.35;;;;;8036450.96;739.133829982501;;;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0951376E;École nationale supérieure de l'électronique et de ses applications de Cergy;95127;Cergy;A25;Versailles;R11;Île-de-France
0060931E;2012;10074961.67;0.0;0.0;2523887.61;2336010.65;;2.76254541403444;5910209.64;208030513.65;97.2374545859656;26813083.97;12.5329500422668;3699555.39;172965904.25;80.8475831950619;5499351.79;15152154.33;9.14404731798331;5284002.38999993;7603422.3;32459470.66;;213940723.29;15.1721795462011;19871.9599999935;;1041003.93;6748158.16;1246681.4;19315619.39;33.4259761147304;27887.16;2010;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0060931E;Université Nice - Sophia-Antipolis;6088;Nice;A23;Nice;R93;Provence-Alpes-Côte d'Azur
0101060Y;2012;;0.0;0.0;914588.2;2806449.49;;3.83634693504616;1205655.57;30216923.97;96.1490217797712;6045180.32;19.2355176465808;1118802.49;23756080.91;75.5908822183662;1085344.39;1469987.44;71.1662914906556;5973406.71999999;335330.73;9407837.41;;31427177.74;29.9353555951856;168777.399999998;;1078548.31;646185.9;562224.05;5998220.78;71.4619225618021;16376.38;2009;B;université technologique;GR50;écoles d'ingénieurs;0101060Y;Université de technologie de Troyes;10387;Troyes;A19;Reims;R44;Grand Est
0130221V;2012;601152.51;0.0;0.0;59031.32;216584.63;;9.64053366871951;498208.700000001;4674725.37;90.4577686449517;1690159.66;32.7052520514826;15930.0;2772279.39;53.6446930741918;270685.58;905944.890000001;292.881338011093;3803166.17;1412165.31;2922119.29;;5167853.95;56.544153884225;299901.110000001;;111243.0;90841.6;374115.71;4060477.09;312.696818893556;57.0;;C;institut d'études politiques;GR20;instituts d'études politiques;0130221V;Institut d'études politiques d'Aix-en-Provence;13001;Aix-en-Provence;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur
0134009M;2012;53945917.75;0.0;0.0;6910651.11;12455993.6;;2.6576069912521;14791095.68;541730371.99;97.3360226396853;68431459.22;12.2955005078201;4697995.54;462726005.61;83.1408229754146;9989670.73;23142864.8;375.360374204298;564844764.3;13344900.23;78865608.8800002;;556556922.4;14.1702682521518;5062326.89999995;;6010808.28;4717392.72;3653226.55;604850036.98;401.94536723671;995092.79;2012;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0134009M;Aix-Marseille université;13207;Marseille 7e;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur
