uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Capacité d'autofinancement;Charges de fonctionnement décaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Droits d'inscription;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Formation continue, diplômes propres et VAE;Ressources propres;Résultat net comptable hors SIE;Produits de fonctionnement encaissables;Ressources propres / Produits encaissables;Résultat net comptable;Solde budgétaire;Subventions de la région;Subventions Union Européenne;Taxe d'apprentissage;Trésorerie;Trésorerie en jours de charges décaissables;Valorisation;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region
9840349G;2013;782672.35;3050.0;0.0;891972.21;704704.22;;11.86414213;3077282.56;22836485.14;88.04368796;2750146.92;10.60290477;39660.56;19191859.89;73.99221523;440184.43;3474440.63;136.6734387;8669835.98;605898.19;2732796.31;;25937674.43;10.5360113;2346083.95;;12460.75;14799.55;;10221880.44;161.1402515;;2013;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;9840349G;Université de la Polynésie Française;98738;Punaauia;A41;Polynésie Française;R00;Collectivités d'outre-mer
0101060Y;2014;3215054.0;1156148.78;209624.82;1277262.94;2646389.78;925552.31;3.970988391;1389737.17;33600723.79;96.00958152;5826853.42;16.64945559;1160471.76;25597107.32;73.14031618;1113295.23;3017869.91;66.75159561;6230283.13;329555.88;12610276.57;;34997260.96;36.03218145;369764.18;;2257452.26;1862781.0;571308.16;5304730.82;56.83517734;13939.71;2009;B;université technologique;GR50;écoles d'ingénieurs;0101060Y;Université de technologie de Troyes;10387;Troyes;A19;Reims;R44;Grand Est
0310133B;2014;33682.92;0.0;27046.21;267684.27;246685.93;-1120109.37;9.243170029;359250.51;3515953.25;90.46209483;1129256.08;29.05467261;95661.84;2252074.04;57.94369859;17054.4;417200.17;162.1751386;1583889.46;831196.07;2117140.15;;3886659.11;54.47197941;247368.54;;;228592.03;132857.4;2703998.83;276.8636297;;;A;institut d'études politiques;GR20;instituts d'études politiques;0310133B;Institut d'études politiques de Toulouse;31555;Toulouse;A16;Toulouse;R76;Occitanie
0311383K;2014;3210320.71;583996.79;105701.77;2973264.89;3191154.85;-6853568.34;2.799898254;4501258.87;156180682.8;97.14838307;18226843.98;11.33756358;499320.42;135819572.2;84.48325101;3286566.93;6368019.75;59.99891287;26029642.16;2370840.12;17349834.73;;160765087.2;10.79204137;3722364.62;;1957643.35;434158.61;957019.66;32883210.5;75.79654263;226945.61;2011;A;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0311383K;Université Toulouse - Jean Jaurès;31555;Toulouse;A16;Toulouse;R76;Occitanie
0331766R;2014;1565994.34;234341.17;1123360.81;2542938.01;755963.99;-5933851.71;3.3794526;2840208.08;81100674.66;96.49852338;8151134.23;9.698716076;204545.2;71365872.71;84.91546297;1961644.0;4406231.09;48.51642916;10929764.27;1607866.61;10211922.59;;84043435.92;12.15076761;1425118.26;;833218.02;388076.11;288596.54;16863615.98;74.8563656;271372.13;2011;A;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0331766R;Université Bordeaux-Montaigne;33318;Pessac;A04;Bordeaux;R75;Nouvelle-Aquitaine
0420093Y;2014;742232.01;293745.94;0.0;979245.42;553804.76;405183.76;15.97667704;806530.61;4237213.39;83.93554945;1928442.1;38.20077781;391204.33;2075367.77;41.11124885;242652.3;1144529.96;171.4788532;2018312.48;88636.6;3173879.96;;5048174.96;62.87182962;333252.36;;146097.18;98211.36;380282.07;1613128.72;137.0538337;;;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0420093Y;École nationale d'ingénieurs de Saint-Étienne;42218;Saint-Étienne;A10;Lyon;R84;Auvergne-Rhône-Alpes
0561718N;2014;2060547.89;766606.6;135119.41;2004650.33;1670873.08;-1425206.94;1.922642419;1395451.52;71167466.78;98.0539908;9207206.56;12.6856187;1130281.98;58941659.08;81.20936657;941991.28;3298914.82;70.32132648;13901640.74;1342824.85;13204973.72;;72579877.88;18.19371168;839865.52;;1535871.67;303011.79;2664769.37;15326847.68;77.53072316;;2010;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0561718N;Université de Bretagne-Sud;56121;Lorient;A14;Rennes;R53;Bretagne
0593279U;2014;4267110.4;290980.09;0.0;3868776.53;5372739.97;142989.12;2.907902415;2919957.54;97335528.91;96.93367651;10135183.15;10.09333977;569708.54;82126612.96;81.78755099;1320406.09;5072715.94;71.98932595;19464219.77;2196744.05;18949392.28;;100414564.3;18.87115919;341416.62;;2481877.54;1210164.51;692306.66;19321230.65;71.46047401;86128.32;2010;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0593279U;Université de Valenciennes et du Hainaut-Cambrésis;59032;Aulnoy-lez-Valenciennes;A09;Lille;R32;Hauts-de-France
0593559Y;2014;7090406.17;1571132.32;872517.11;11728333.59;2603382.07;-1304041.05;0.876080655;2126083.32;236722288.6;97.54453912;34194396.73;14.09025187;11276798.27;193714768.4;79.82272355;2467974.31;6339736.5;24.2171028;15924244.44;6215532.35;51170889.66;;242681231.3;21.08563954;;;5551100.57;2768760.15;4315685.44;17228285.49;26.20024845;150530.6;2011;E;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0597065J;Université LILLE 1 - SCIENCES TECHNOLOGIES;;;;;;
0631525R;2014;3992587.05;2469358.15;2138848.13;3315199.88;1418472.2;-4309892.28;1.456871527;2275847.3;153937855.0;98.54249799;16615474.87;10.63630774;2302761.22;132837903.4;85.03547631;1612234.1;6515646.64;5.517097664;2359139.39;2026214.09;22073539.74;;156214687.2;14.1302589;;;1718086.69;2013626.39;762884.23;6669031.67;15.59623785;103980.26;2010;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0632035V;Université CLERMONT-FERRAND 2 - BLAISE PASCAL;;;;;;
